Epoch time,Latitude,Longitude,Radiation (cps)
1682547203.0123808,37.87542,-122.258855,35.0
1682547208.5388815,37.875405,-122.258871,35.6
1682547214.1082199,37.875403,-122.258873,34.4
1682547219.625826,37.875403,-122.258873,28.6
1682547225.2185674,37.875406,-122.258865,35.8
1682547230.8133228,37.87541,-122.258859,29.4
1682547236.3704967,37.87541,-122.258856,34.8
1682547241.9369266,37.875416,-122.258853,31.0
1682547247.4824746,37.875418,-122.258851,36.6
1682547253.068781,37.875418,-122.25885,33.4
1682547258.6138086,37.875393,-122.258868,34.0
1682547264.2377188,37.875385,-122.258876,33.4
1682547269.7771368,37.875385,-122.258876,35.6
1682547275.3623517,37.875383,-122.258876,33.2
1682547281.0123844,37.87539,-122.258871,33.2
1682547286.61643,37.875393,-122.258871,35.0
1682547292.2279074,37.875393,-122.258873,35.8
1682547297.8124082,37.875391,-122.258871,37.2
1682547303.4193048,37.875391,-122.25887,36.4
1682547309.03279,37.87539,-122.258868,39.4
1682547314.6066003,37.87539,-122.258868,34.2
1682547320.2517095,37.875383,-122.258863,33.6
1682547325.8838017,37.875373,-122.258863,31.6
1682547331.4926102,37.875371,-122.258858,28.8
1682547337.233161,37.875375,-122.258858,34.4
1682547342.8928008,37.875378,-122.258859,30.6
1682547348.505704,37.875379,-122.258859,33.8
1682547354.168847,37.875379,-122.258859,34.0
1682547359.815528,37.875379,-122.258859,32.0
1682547365.5591917,37.875383,-122.258858,33.4
1682547371.262797,37.875385,-122.258858,40.2
1682547376.915288,37.875386,-122.258863,32.0
1682547382.5689595,37.87539,-122.258866,35.4
1682547388.2389224,37.87539,-122.258861,36.4
1682547393.9441001,37.875391,-122.258858,36.6
1682547399.6361074,37.875393,-122.258858,33.6
1682547405.2988882,37.87539,-122.258856,31.2
1682547411.0194325,37.875386,-122.258859,37.2
1682547416.6950135,37.875385,-122.258868,34.4
1682547422.397496,37.875383,-122.258868,33.2
1682547428.1034815,37.875381,-122.258875,35.2
1682547433.7413466,37.875378,-122.258875,31.2
1682547439.373332,37.875376,-122.258878,33.8
1682547445.0974467,37.875381,-122.258881,36.4
1682547450.7926862,37.875383,-122.258878,33.6
1682547456.5692084,37.875383,-122.258881,33.8
1682547462.4246247,37.875383,-122.258883,33.8
1682547468.2873666,37.875383,-122.258886,36.4
1682547474.7342095,37.875378,-122.25889,42.6
