Epoch time,Latitude,Longitude,Radiation (cps)
1683138131.8791745,37.871769,-122.252231,39.0
1683138137.21787,37.871776,-122.252248,40.0
1683138142.521741,37.871719,-122.252271,34.0
1683138147.8722422,37.871705,-122.252301,34.0
1683138153.2181685,37.871701,-122.252321,35.4
1683138158.556366,37.8717,-122.252325,30.6
1683138163.9406118,37.8717,-122.252323,30.8
1683138169.3009772,37.871701,-122.252323,35.4
1683138174.6396906,37.871701,-122.252323,39.8
1683138180.0390127,37.871701,-122.252323,30.0
1683138185.3807998,37.871701,-122.252321,31.8
1683138190.737879,37.871701,-122.252321,35.6
1683138196.1092007,37.871701,-122.252321,34.0
1683138201.4520297,37.871701,-122.252321,31.0
1683138206.940621,37.871701,-122.252321,33.6
1683138212.3360643,37.871701,-122.252321,30.6
1683138217.7229893,37.871701,-122.252321,36.8
1683138223.174059,37.871701,-122.252321,31.8
1683138228.5412807,37.871701,-122.252321,35.0
1683138233.9897656,37.871701,-122.252321,36.0
1683138239.403026,37.871701,-122.252321,36.0
1683138244.816231,37.871701,-122.252321,36.0
1683138250.2996252,37.871701,-122.252321,31.8
1683138255.753935,37.871701,-122.252321,34.8
1683138261.3414483,37.871701,-122.252321,31.8
1683138266.7570655,37.871701,-122.252321,30.6
1683138272.2231812,37.871701,-122.252321,34.0
1683138277.6137915,37.871701,-122.252321,30.2
1683138283.0405998,37.871701,-122.252321,29.2
1683138288.4418573,37.871701,-122.252321,29.8
1683138293.8797898,37.871701,-122.252321,32.0
1683138299.3374264,37.871701,-122.252321,29.4
1683138304.779565,37.871701,-122.252321,32.8
1683138310.2745247,37.871701,-122.252321,36.0
1683138315.7153056,37.871701,-122.252321,36.2
1683138321.2019382,37.871701,-122.252321,35.6
1683138326.6372726,37.871701,-122.252321,33.8
1683138332.1521251,37.871701,-122.252321,29.0
1683138337.595704,37.871701,-122.252321,31.2
1683138343.093,37.871701,-122.252321,36.4
1683138348.5527747,37.871701,-122.252321,36.0
1683138354.0570815,37.871701,-122.252321,32.4
