Epoch time,Latitude,Longitude,Radiation (cps)
1682551454.0264895,37.870285,-122.259436,37.6
1682551459.387764,37.870281,-122.259435,43.2
1682551464.7794168,37.870276,-122.259433,46.6
1682551470.111722,37.870275,-122.259433,41.2
1682551475.4091213,37.870275,-122.259436,41.4
1682551480.7338176,37.87028,-122.259441,42.0
1682551486.0725038,37.870283,-122.259441,37.2
1682551491.3923302,37.870283,-122.259446,40.4
1682551496.723169,37.870283,-122.259455,39.8
1682551502.0850341,37.870286,-122.259458,43.8
1682551507.4096856,37.870288,-122.259466,40.4
1682551512.789373,37.870288,-122.259468,40.4
1682551518.1629105,37.870288,-122.25947,40.2
1682551523.4677026,37.870288,-122.259471,45.2
1682551528.8091393,37.870288,-122.259471,41.0
1682551534.2629685,37.870293,-122.259478,43.6
1682551539.6213458,37.870293,-122.259478,42.8
1682551545.0423908,37.870293,-122.259478,42.8
1682551550.4892275,37.870296,-122.259476,37.6
1682551555.9537513,37.870296,-122.259471,42.2
1682551561.3694837,37.870296,-122.259471,42.2
1682551566.7954655,37.870296,-122.259471,43.0
1682551572.195015,37.870296,-122.259471,41.8
1682551577.556567,37.870296,-122.259471,40.0
1682551582.9269686,37.870296,-122.259471,42.2
1682551588.3562071,37.870296,-122.259471,39.6
1682551593.7550201,37.870296,-122.259471,47.6
1682551599.2345903,37.870296,-122.259471,42.0
1682551604.6224082,37.870296,-122.25947,40.6
1682551610.0908194,37.870296,-122.25947,45.4
1682551615.4773512,37.870296,-122.25947,44.2
1682551620.9028852,37.870296,-122.25947,44.6
1682551626.3493032,37.870296,-122.25947,46.6
1682551631.7818685,37.870296,-122.259468,46.4
1682551637.2274497,37.870296,-122.259468,42.6
1682551642.6344953,37.870296,-122.259468,36.6
1682551648.1321912,37.870296,-122.259468,45.2
1682551653.5429611,37.870296,-122.259466,41.4
1682551659.0143473,37.870296,-122.259466,40.0
1682551664.4828458,37.870296,-122.259466,39.0
1682551669.934852,37.870296,-122.259466,42.0
1682551675.4178677,37.870296,-122.259466,44.0
1682551680.8818128,37.870296,-122.259466,45.4
1682551686.3852534,37.870296,-122.259466,45.0
1682551691.8339493,37.870296,-122.259466,42.6
1682551697.315013,37.870296,-122.259466,45.6
1682551702.761257,37.870296,-122.259466,43.2
1682551708.2611065,37.870296,-122.259466,41.6
1682551713.721157,37.870296,-122.259466,43.8
1682551719.2159176,37.870296,-122.259468,37.2
1682551724.7049146,37.870295,-122.259466,42.6
1682551730.304178,37.870293,-122.259468,45.6
1682551735.7692883,37.870293,-122.259468,40.0
1682551741.2937815,37.870293,-122.259466,45.6
1682551746.7764041,37.870293,-122.259466,42.6
1682551752.2936468,37.870293,-122.259466,44.0
1682551757.7934597,37.870293,-122.259466,44.0
1682551763.348913,37.870293,-122.259466,44.2
1682551768.856453,37.870293,-122.259466,39.0
1682551774.3857133,37.870293,-122.259466,43.8
1682551779.9459195,37.870293,-122.259466,44.2
1682551785.4565685,37.870293,-122.259466,39.6
1682551790.9665177,37.870293,-122.259465,38.0
1682551796.4797194,37.870293,-122.259465,40.0
1682551802.0236418,37.870291,-122.259465,48.2
1682551807.545617,37.870291,-122.259465,37.6
1682551813.141683,37.870291,-122.259465,38.8
1682551818.6720526,37.87029,-122.259458,34.8
1682551824.2975576,37.870288,-122.259451,50.2
1682551829.836391,37.870285,-122.25944,47.8
1682551835.4367876,37.870285,-122.25944,45.0
1682551841.0,37.870285,-122.259438,40.2
1682551846.5455809,37.870285,-122.259438,42.2
1682551852.1849406,37.870285,-122.259438,40.2
1682551857.7424242,37.870285,-122.259438,43.8
1682551863.3675425,37.870285,-122.259438,42.2
1682551868.9134808,37.870285,-122.259438,45.2
1682551874.5006313,37.870283,-122.259438,45.4
1682551880.0976617,37.870283,-122.259438,38.6
1682551885.6807225,37.870283,-122.259438,41.2
1682551891.277559,37.870283,-122.259438,45.6
1682551896.8454654,37.870283,-122.259438,42.2
1682551902.4522507,37.870283,-122.259438,41.0
1682551908.0492628,37.870283,-122.259438,36.8
1682551913.6355946,37.870283,-122.259438,46.2
1682551919.317671,37.870283,-122.259436,36.2
1682551924.9337626,37.870283,-122.259436,34.8
1682551930.5928006,37.870283,-122.259436,46.6
1682551936.2452734,37.870283,-122.259436,39.6
1682551941.8691394,37.870283,-122.259436,46.2
1682551947.511443,37.870283,-122.259436,43.8
1682551953.1278741,37.870283,-122.259436,43.0
1682551958.7733045,37.870283,-122.259436,40.2
1682551964.5045724,37.870283,-122.259436,40.2
1682551970.151461,37.870283,-122.259436,42.0
1682551975.841586,37.870283,-122.259436,45.2
1682551981.5065002,37.870283,-122.259436,43.8
1682551987.1789417,37.870281,-122.259435,46.2
1682551992.8076036,37.870281,-122.259435,39.0
1682551998.4690764,37.870281,-122.259435,43.2
1682552004.155884,37.870281,-122.259435,41.0
1682552009.7904801,37.870281,-122.259435,45.4
1682552015.4863267,37.870281,-122.259435,48.6
1682552021.2259068,37.87028,-122.259431,40.4
1682552026.8639789,37.87028,-122.259426,36.0
1682552032.528587,37.87028,-122.259421,40.2
1682552038.207207,37.870275,-122.259413,43.2
1682552043.8373756,37.87027,-122.259401,43.6
1682552049.5190685,37.870271,-122.259395,47.6
1682552055.2200844,37.870271,-122.259395,43.4
1682552060.8959913,37.870271,-122.259395,44.4
1682552066.6025205,37.870271,-122.259395,47.0
1682552072.3598738,37.870271,-122.259395,42.0
1682552078.0539873,37.870271,-122.259393,50.0
1682552083.727728,37.870271,-122.259393,45.8
1682552089.463256,37.870271,-122.259393,44.6
1682552095.1873055,37.870271,-122.259393,41.0
1682552100.9053326,37.870271,-122.259393,41.4
1682552106.6515846,37.870271,-122.259393,47.6
1682552112.3953097,37.87027,-122.259393,48.6
1682552118.1352673,37.87027,-122.259393,48.4
1682552123.8675687,37.87027,-122.259393,45.8
1682552129.5714257,37.87027,-122.259393,42.6
1682552135.429771,37.87027,-122.259393,39.6
1682552141.1735125,37.87027,-122.259393,48.0
1682552146.907567,37.87027,-122.259393,44.4
1682552152.6285985,37.87027,-122.259393,43.8
1682552158.4074967,37.87027,-122.259393,46.6
1682552164.2181895,37.87027,-122.259393,45.2
1682552170.0063252,37.87027,-122.259393,43.6
1682552175.7827206,37.87027,-122.259393,39.0
1682552181.5704584,37.87027,-122.259393,47.6
1682552187.431874,37.87027,-122.259393,39.2
1682552193.2755365,37.87027,-122.259393,45.8
1682552199.1104503,37.87027,-122.259391,41.0
1682552204.96144,37.87027,-122.259391,44.4
1682552210.8717024,37.87027,-122.259391,43.8
1682552216.8889241,37.87027,-122.259391,42.6
1682552222.6920886,37.87027,-122.259391,41.0
1682552228.5208356,37.87027,-122.259391,45.8
1682552234.3438997,37.87027,-122.259391,41.6
1682552240.1777103,37.87027,-122.259391,43.4
1682552245.9961243,37.87027,-122.259391,44.6
1682552251.87789,37.87027,-122.259391,42.4
1682552257.7037241,37.87027,-122.259391,41.2
1682552263.5566802,37.87027,-122.259391,40.2
1682552269.4224055,37.87027,-122.259391,39.4
1682552275.3636599,37.87027,-122.259391,44.2
1682552281.1806636,37.87027,-122.259391,40.0
1682552286.9863353,37.87027,-122.259391,41.2
1682552292.830582,37.870266,-122.25939,43.2
1682552298.7246428,37.870265,-122.25939,46.2
1682552304.6340132,37.870265,-122.25939,39.4
1682552310.4844928,37.870265,-122.25939,40.8
1682552316.3566592,37.870265,-122.25939,42.2
1682552322.287872,37.870265,-122.25939,42.6
1682552328.2090118,37.870265,-122.25939,46.0
1682552334.0707538,37.870265,-122.25939,47.0
1682552339.9612803,37.870265,-122.25939,48.6
1682552346.0460572,37.870265,-122.25939,45.6
