Time,Counts
1679528764.8842251,2
1679528774.8882499,4
1679528784.8984163,4
1679528794.9085596,10
1679528804.9187167,6
1679528814.9288948,5
1679528824.939061,6
1679528834.9492188,4
1679528844.9593785,6
1679528854.9695504,6
1679528864.979756,5
1679528874.98993,6
