Time,Counts
1679529725.502912,2
1679529735.5130904,4
1679529745.5232549,3
1679529755.5334187,1
1679529765.5435817,3
1679529775.5537517,1
1679529785.5639231,4
1679529795.5740838,1
1679529805.5842433,0
1679529815.5944126,1
1679529825.596221,0
1679529835.6063583,2
