Time,Counts
1679529423.4882174,6
1679529433.4983773,6
1679529443.5085304,4
1679529453.5186815,3
1679529463.5288415,1
1679529473.538995,5
1679529483.5491595,2
1679529493.559316,4
1679529503.5694726,2
1679529513.5796287,1
1679529523.5898106,4
1679529533.5999982,3
