Time,Counts
1679529580.0626493,0
1679529590.0728385,1
1679529600.0829983,0
1679529610.0931573,3
1679529620.1033132,0
1679529630.1134768,1
1679529640.1236162,3
1679529650.133758,6
1679529660.143921,3
1679529670.1540692,4
1679529680.1642194,2
1679529690.1743917,2
