Time,Counts
1679528934.4277627,4
1679528944.4378505,4
1679528954.447985,5
1679528964.4548235,5
1679528974.4649844,0
1679528984.475146,6
1679528994.4853086,6
1679529004.4954603,2
1679529014.5056207,4
1679529024.5157812,4
1679529034.5259385,2
1679529044.5361013,3
