Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3)
1681947531.7308447,37.875375,-122.258931,2.0
1681947537.4418027,37.875373,-122.258941,2.0
1681947543.097306,37.875373,-122.258948,2.0
1681947548.709862,37.875378,-122.258968,2.0
1681947554.3312187,37.875378,-122.258976,2.0
1681947559.9627225,37.875379,-122.258986,2.0
1681947565.6312702,37.875385,-122.258993,2.0
1681947571.3180785,37.875388,-122.25899,2.0
1681947576.931248,37.875388,-122.258988,2.0
1681947582.6093173,37.875388,-122.258988,2.0
1681947588.3634388,37.875386,-122.258973,2.0
1681947594.037194,37.875388,-122.258963,2.0
1681947599.6529467,37.875388,-122.258956,2.0
1681947605.334969,37.875386,-122.258944,2.0
1681947611.0044727,37.875385,-122.258938,2.0
1681947616.6786644,37.875381,-122.258936,2.0
1681947622.36888,37.875379,-122.258933,2.0
1681947628.0394952,37.875379,-122.258923,2.0
1681947633.7253594,37.875378,-122.258905,2.0
1681947639.401236,37.875378,-122.258898,2.0
1681947645.112766,37.875376,-122.258893,2.0
1681947650.8282626,37.875375,-122.258891,2.0
1681947656.5320122,37.875373,-122.25889,2.0
1681947662.2406197,37.87537,-122.258886,2.0
1681947667.95421,37.875368,-122.258884,2.0
1681947673.6225736,37.875368,-122.258883,2.0
1681947679.427496,37.875365,-122.258868,2.0
1681947685.2929265,37.87536,-122.258858,2.0
1681947691.1511672,37.875358,-122.258855,2.0
1681947696.8639882,37.875358,-122.258856,2.0
1681947702.5823097,37.875355,-122.258858,2.0
1681947708.363464,37.875355,-122.258863,2.0
1681947714.2475278,37.875358,-122.25887,2.0
1681947719.949725,37.875355,-122.258873,2.0
1681947725.671793,37.875356,-122.25888,2.0
1681947731.414048,37.875355,-122.258878,2.0
1681947737.1520467,37.875343,-122.258855,2.0
1681947742.8671849,37.875346,-122.258845,2.0
1681947748.5846028,37.87536,-122.258878,2.0
1681947754.4588246,37.875361,-122.258851,2.0
1681947760.2255492,37.875365,-122.258821,2.0
1681947765.933876,37.875386,-122.258786,2.0
1681947771.6477728,37.875391,-122.25876,2.0
1681947777.4550014,37.875378,-122.258743,2.0
1681947783.2471077,37.87537,-122.258731,2.0
1681947789.0524666,37.87537,-122.258728,2.0
