Time,Counts
1679529254.3242173,2
1679529264.3322093,6
1679529274.3423808,4
1679529284.3525343,2
1679529294.3626885,5
1679529304.3728619,1
1679529314.3830228,6
1679529324.3931916,7
1679529334.4033577,7
1679529344.4135182,3
1679529354.4236777,4
1679529364.433845,3
